Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;f_min_prod;f_max_prod;Comment
Electricity;Electricity;Grate-firing-steam turbine;ST_BIOMASS;1668.197284;38.69471802;165.33;30;0.409994599;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Syngas-steam turbine;ST_SNG;954.2088467;14.31304758;1024.32;30;0.409994599;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Electricity;Electricity;Combined cycle gas turbine_Sur;CCGT_SUR;1253.082037;18.7961901;183.79;30;0.85;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat high temperature;Cogeneration gas (industry);IND_COGEN_GAS;1484.44;95.41808193;1024.32;25;0.8449;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat high temperature;Cogeneration wood (industry);IND_COGEN_WOOD;1139.44;41.71767303;165.33;25;0.8449;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat high temperature;Cogeneration waste (industry);IND_COGEN_WASTE;3101.3;114.3299681;647.82;25;0.8449;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat high temperature;Boiler gas (industry);IND_BOILER_GAS;64.78;1.297874333;12.32;17;0.9443;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat high temperature;Boiler wood (industry);IND_BOILER_WOOD;126.7;2.533945126;28.87;17;0.8946;0.0;1.0;0.0005863463781422;1000000000000000.0;0.0;1000000000000000.0;
Heat;Heat high temperature;Boiler biowaste (industry);IND_BOILER_BIOWASTE;138.22;2.764303774;28.87;17;0.8946;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat high temperature;Boiler oil (industry);IND_BOILER_OIL;60.34;1.297874333;12.32;17;0.9443;0.0;1.0;0.0001371491541305;1000000000000000.0;0.0;1000000000000000.0;
Heat;Heat high temperature;Boiler coal (industry);IND_BOILER_COAL;126.7;2.533945126;48.18;17;0.8946;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat high temperature;Boiler waste (industry);IND_BOILER_WASTE;126.7;2.533945126;28.87;17;0.8946;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat high temperature;Electrical resistors (industry);IND_DIRECT_ELEC;360.04;1.633267784;1.47;15;0.9443;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature centralised;Heat pump (DHN);DHN_HP_ELEC;395.73;13.41870073;174.79;25;0.9443;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature centralised;Cogeneration gas (DHN);DHN_COGEN_GAS;1361.46;39.80624675;490.88;25;0.8449;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature centralised;Cogeneration wood (DHN);DHN_COGEN_WOOD;1172.95;42.94466341;165.33;25;0.8449;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature centralised;Cogeneration waste (DHN);DHN_COGEN_WASTE;3182.91;117.3386515;647.82;25;0.8449;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature centralised;Boiler gas (DHN);DHN_BOILER_GAS;70.67;1.415862909;12.32;17;0.9443;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature centralised;Boiler wood (DHN);DHN_BOILER_WOOD;138.22;2.764303774;28.87;17;0.8946;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature centralised;Boiler oil (DHN);DHN_BOILER_OIL;65.83;1.415862909;12.32;17;0.9443;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature centralised;Geothermal (DHN);DHN_DEEP_GEO;1611.94;60.39529412;808.76;30;0.8449;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature centralised;Solar thermal (DHN);DHN_SOLAR;381.37;0.449838889;221.22;30;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature decentralised;Electrical heat pump (decentralised);DEC_HP_ELEC;534.83;22.29942815;164.89;18;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature decentralised;Thermal heat pump gas (decentralised);DEC_THHP_GAS;343.14;10.02879086;381.93;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature decentralised;Cogeneration gas (decentralised);DEC_COGEN_GAS;1484.44;95.41808193;1024.32;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature decentralised;Cogeneration oil (decentralised);DEC_COGEN_OIL;1376.41;84.44837929;1024.32;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_GAS;8478.77;158.0127523;2193.45;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_H2;8478.77;158.0127523;2193.45;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature decentralised;Bioler gas (decentralised);DEC_BOILER_GAS;174.39;5.232699691;21.09;17;1.0;0.0;1.0;5.460839268431893e-06;1000000000000000.0;0.0;1000000000000000.0;
Heat;Heat low temperature decentralised;Boiler wood (decentralised);DEC_BOILER_WOOD;508.68;17.79941942;21.09;17;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature decentralised;Boiler oil (decentralised);DEC_BOILER_OIL;156.62;9.394138028;21.09;17;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature decentralised;Solar thermal (decentralised);DEC_SOLAR;743.38;8.247963292;221.22;25;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Heat;Heat low temperature decentralised;Direct electrical heaters (decentralised);DEC_DIRECT_ELEC;42.16;0.184273541;1.47;15;1.0;0.0;1.0;0.0002130079122515;1000000000000000.0;0.0;1000000000000000.0;
Cold;Space cooling;Electrical refrigeration cycle;DEC_ELEC_COLD;510.64;21.49;164.89;20;1.0;0.0;1.0;0.0;1000000000000000.0;0.0;1000000000000000.0;
Cold;Space cooling;Thermal refrigeration cycle gas;DEC_THHP_GAS_COLD;327.63;9.65;381.93;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Cold;Process cooling;Industrial electric cooling;IND_ELEC_COLD;649.14;5.27;174.79;20;0.95;0.0;1.0;0.0;1000000000000000.0;0.0;1000000000000000.0;
Mobility;Passenger public;Tram or metro;TRAMWAY_TROLLEY;625.0;12.5;0.0;30;0.342465753;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger public;Bus diesel;BUS_COACH_DIESEL;0.0;0.0;0.0;15;0.483722222;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger public;Bus diesel hybrid;BUS_COACH_HYDIESEL;823.29;33.33333333;0.0;15;0.483722222;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger public;Bus gas;BUS_COACH_CNG_STOICH;0.0;0.0;0.0;15;0.483722222;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger public;Bus fuel cell (H2);BUS_COACH_FC_HYBRIDH2;1081.47;31.25;0.0;15;0.483722222;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger public;Train (passenger);TRAIN_PUB;1506.02;54.35274934;0.0;40;0.275072894;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger aviation;Plane short_haul;PLANE_SHORT_HAUL;1456.05;39.82;0.0;35;0.4999;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger aviation;Plane hydrogen short-haul;PLANE_H2_SHORT_HAUL;1639.69;44.84;0.0;35;0.4999;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger aviation;Plane long_haul;PLANE_LONG_HAUL;1343.77;36.75;0.0;35;0.5374;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger private;Car gasoline;CAR_GASOLINE;0.0;0.0;0.0;10;0.1343125;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger private;Car diesel;CAR_DIESEL;0.0;0.0;0.0;10;0.1343125;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger private;Car gas;CAR_NG;0.0;0.0;0.0;10;0.1343125;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger private;Car methanol;CAR_METHANOL;0.0;0.0;0.0;10;0.1343125;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger private;Car hybrid (gasoline);CAR_HEV;424.24;34.0;0.0;10;0.1343125;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger private;Car plug-in hybrid;CAR_PHEV;464.97;34.0;0.0;10;0.1343125;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger private;Car electric;CAR_BEV;328.1935072;6.563870143;0.0;10;0.1343125;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Passenger private;Car fuel cell (H2);CAR_FUEL_CELL;1272.0333;14.124;0.0;10;0.1343125;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Freight;Train (freight);TRAIN_FREIGHT;104.42;2.088311688;0.0;40;0.342465753;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;73.84;3.819444444;0.0;40;0.114155251;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Freight;Boat gas;BOAT_FREIGHT_NG;74.49;3.819444444;0.0;40;0.114155251;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Freight;Boat methanol;BOAT_FREIGHT_METHANOL;0.0;0.0;0.0;40;0.114155251;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;International shipping;Container shipping diesel;CARGO_LFO;0.0;0.0;0.0;40;0.739666854;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;International shipping;Container shipping LNG;CARGO_LNG;0.0;0.0;0.0;40;0.739666854;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;International shipping;Container shipping fuelcell;CARGO_METHANOL;0.0;0.0;0.0;40;0.739666854;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;International shipping;Container shipping fuelcell;CARGO_AMMONIA;0.0;0.0;0.0;40;0.739666854;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;International shipping;Container shipping fuelcell;CARGO_FUELCELL_LH2;0.0;0.0;0.0;40;0.739666854;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;International shipping;Container shipping fuelcell;CARGO_FUELCELL_AMMONIA;0.0;0.0;0.0;40;0.739666854;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;International shipping;Container shipping fuelcell;CARGO_RETRO_METHANOL;0.0;0.0;0.0;40;0.739666854;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;International shipping;Container shipping fuelcell;CARGO_RETRO_AMMONIA;0.0;0.0;0.0;40;0.739666854;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Freight;Trucks diesel;TRUCK_DIESEL;0.0;0.0;0.0;15;0.01805556;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Freight;Truck methanol;TRUCK_METHANOL;0.0;0.0;0.0;15;0.01805556;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Freight;Truck fuel cell (hydrogen);TRUCK_FUEL_CELL;417.59;12.06666667;0.0;15;0.01805556;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Freight;Truck electric;TRUCK_ELEC;835.89;23.13333333;0.0;15;0.01805556;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Mobility;Freight;Truck gas;TRUCK_NG;361.9;18.55555556;0.0;15;0.01805556;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Infrastructure;Infrastructure;Efficiency mesures in energy system;EFFICIENCY;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;1000000000000000.0;0.0;1000000000000000.0;
Infrastructure;Infrastructure;Distric heating network;DHN;825.88;0.0;0.0;60;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Infrastructure;Infrastructure;Electrical grid cost;GRID;0.0;0.0;0.0;80;1.0;0.0;1.0;0.0;1000000000000000.0;0.0;1000000000000000.0;
Infrastructure;Infrastructure;HVAC line;HVAC_LINE;2.0;0.04;0.0;40;1.0;0.0;1.0;0.0;1000000000000000.0;0.0;1000000000000000.0;
Infrastructure;Infrastructure;HVDC subsea cable;HVDC_SUBSEA;3.24;0.06;0.0;40;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Infrastructure;Infrastructure;Gas pipeline;GAS_PIPELINE;0.134;0.001;0.0;55;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Infrastructure;Infrastructure;Gas subsea pipeline;GAS_SUBSEA;0.208;0.002;0.0;55;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Infrastructure;Infrastructure;Hydrogen retrofitted pipeline;H2_RETROFITTED;0.355973417;0.005;0.0;40;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Infrastructure;Infrastructure;Hydrogen new pipeline;H2_NEW;0.452;0.005;0.0;40;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Infrastructure;Infrastructure;Hydrogen subsea retrofitted pipeline;H2_SUBSEA_RETRO;0.533066683;0.007;0.0;40;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Infrastructure;Infrastructure;Hydrogen subsea new pipeline;H2_SUBSEA_NEW;0.726;0.007;0.0;40;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Electrolysers;H2_ELECTROLYSIS;1772.15;48.73417722;0.0;15;0.8946;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Steam methane reforming;H2_NG;736.79;67.9913424;0.0;25;0.85484;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Biomass to hydrogen;H2_BIOMASS;3788.08;266.8661519;0.0;25;0.85484;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Lignocellulosic biomass gasification;BIOMASS_TO_METHANE;2969.836;179.3138803;0.0;25;0.85;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Biowaste gasification;BIOWASTE_TO_METHANE;2969.836;179.3138803;0.0;25;0.85;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Hydrogen methanation;SYN_METHANATION;320.78;81.96184211;0.0;40;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Wet biomass methanation;BIOMETHANATION_WET_BIOMASS;1066.44;14.77272727;0.0;20;0.8449;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Biowaste methanation;BIOMETHANATION_BIOWASTE;1066.44;14.77272727;0.0;20;0.8449;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Lignocellulosic biomass pyrolysis to gasoline (and diesel);BIOMASS_TO_GASOLINE;5900.613267;166.9735;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Fischer Tropsch Ligno Diesel;BIOMASS_TO_DIESEL;5900.613267;166.9735;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Fischer Tropsch Ligno Jet fuel;BIOMASS_TO_JET_FUEL;5900.613267;166.9735;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Lignocellulosic biomass pyrolysis to LFO;BIOMASS_TO_LFO;6046.9153;166.9735;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Biowaste pyrolysis to gasoline (and diesel);BIOWASTE_TO_GASOLINE;5900.613267;242.6681533;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Fischer Tropsch bio waste Diesel;BIOWASTE_TO_DIESEL;5900.613267;242.6681533;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Fischer Tropsch bio waste Jet fuel;BIOWASTE_TO_JET_FUEL;5900.613267;242.6681533;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Biowaste pyrolysis to LFO;BIOWASTE_TO_LFO;6046.9153;250.46025;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Diesel to jet fuel;DIESEL_TO_JET_FUEL;0.0;0.0;0.0;25;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;5281.82;131.112;0.0;40;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Carbon capture from industry;INDUSTRY_CCS;2640.91;65.556;0.0;40;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Hydrogen methanolation;SYN_METHANOLATION;0.0;0.0;0.0;20;0.9443;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Methane to methanol;METHANE_TO_METHANOL;0.0;0.0;0.0;25;0.8449;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;0.0;0.0;0.0;20;0.994;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Biowaste methanolation;BIOWASTE_TO_METHANOL;0.0;94.248;0.0;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Haber bosch (H2 to amonia);HABER_BOSCH;0.0;0.0;0.0;20;0.994;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch P2L Gasoline;POWER_TO_GASOLINE;3532.743904;253.0536276;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch P2L Diesel;POWER_TO_DIESEL;3532.743904;253.0536276;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch P2L Jet fuel;POWER_TO_JET_FUEL;3532.743904;253.0536276;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch P2L LFO;POWER_TO_LFO;3804.508764;288.1851693;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch Hydrogen to Gasoline;H2_TO_GASOLINE;2241.910636;137.0330166;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch Hydrogen to Diesel;H2_TO_DIESEL;2241.910636;137.0330166;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch Hydrogen to Jet fuel;H2_TO_JET_FUEL;2241.910636;137.0330166;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch Hydrogen to LFO;H2_TO_LFO;2445.720694;149.5353034;0.0;25;0.91;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;0.0;0.0;0.0;25;0.994;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Oil to HVC;OIL_TO_HVC;427.2;2.271214642;0.0;15;0.994;0.0;1.0;0.0;1000000000000000.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Gas to HVC;GAS_TO_HVC;862.63;21.5657004;0.0;25;0.994;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Biomass to HVC;BIOMASS_TO_HVC;2614.5;78.0;0.0;20;0.994;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Synthetic fuels;Synthetic fuels;Methanol to HVC;METHANOL_TO_HVC;0.0;0.0;0.0;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Electricity storage;Batteries;BATT_LI;425.88;0.658412583;61.3;15;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Electricity storage;Compressed air energy storage;CAES;38.938;3.1799;0.0;50;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Electricity storage;Batteries of plug-in hybrid cars;PHEV_BATT;0.0;0.0;0.0;1;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Electricity storage;Hydro dam storage;DAM_STORAGE;0.0;0.0;0.0;100;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Electricity storage;Pumped hydro storage;PHS;58.8;0.0;8.33;50;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Thermal storage;Decentralised direct elec;TS_DEC_DIRECT_ELEC;19.0;0.13;0.0;25;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Thermal storage;Decentralised electrical heat pumps;TS_DEC_HP_ELEC;0.0;0.0;0.0;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Thermal storage;Decentralised thermal heat pumps gas;TS_DEC_THHP_GAS;0.0;0.0;0.0;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Thermal storage;Decentralised cogeneration gas;TS_DEC_COGEN_GAS;0.0;0.0;0.0;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Thermal storage;Decentralised cogenration oil;TS_DEC_COGEN_OIL;0.0;0.0;0.0;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Thermal storage;Decentralised fuel cell cogeneration gas;TS_DEC_ADVCOGEN_GAS;0.0;0.0;0.0;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Thermal storage;Decentralised fuel cell cogenration H2;TS_DEC_ADVCOGEN_H2;0.0;0.0;0.0;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Thermal storage;Decentralised boiler gas;TS_DEC_BOILER_GAS;0.0;0.0;0.0;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
Storage;Thermal storage;Decentralised boiler wood;TS_DEC_BOILER_WOOD;0.0;0.0;0.0;20;1.0;0.0;1.0;0.0;0.0;0.0;1000000000000000.0;
